,KNN,,,FKNN,,
k,Avg Score,Best Score,Time,Avg Score,Best Score,Time
1,0.9600000000000002,1.0,0.15899920463562012,0.9600000000000002,1.0,0.0720052719116211
2,0.9466666666666667,1.0,0.10600900650024414,0.9666666666666668,1.0,0.0909879207611084
3,0.96,1.0,0.12198925018310547,0.96,1.0,0.10101890563964844
4,0.96,1.0,0.0969994068145752,0.96,1.0,0.11101961135864258
5,0.9666666666666666,1.0,0.1199946403503418,0.96,1.0,0.12700128555297852
6,0.9666666666666666,1.0,0.12000274658203125,0.9666666666666668,1.0,0.14699912071228027
7,0.9666666666666668,1.0,0.22499847412109375,0.9666666666666668,1.0,0.1499931812286377
8,0.96,1.0,0.11600208282470703,0.9666666666666668,1.0,0.1719982624053955
9,0.96,1.0,0.12200260162353516,0.9666666666666668,1.0,0.20200037956237793
10,0.9600000000000002,1.0,0.11099958419799805,0.9666666666666668,1.0,0.1809995174407959
11,0.9733333333333334,1.0,0.12000036239624023,0.9666666666666668,1.0,0.1900038719177246
12,0.9733333333333334,1.0,0.11297893524169922,0.9666666666666668,1.0,0.2610740661621094
13,0.9666666666666668,1.0,0.11101007461547852,0.9666666666666668,1.0,0.20999979972839355
14,0.9666666666666668,1.0,0.10601282119750977,0.9666666666666668,1.0,0.20600056648254395
15,0.9733333333333334,1.0,0.11899709701538086,0.9666666666666668,1.0,0.21700000762939453
16,0.96,0.9666666666666667,0.11299538612365723,0.9666666666666668,1.0,0.43599677085876465
17,0.9733333333333334,1.0,0.15399599075317383,0.9666666666666668,1.0,0.2590010166168213
18,0.9733333333333334,1.0,0.12497758865356445,0.9666666666666668,1.0,0.28103137016296387
19,0.9733333333333334,1.0,0.13199734687805176,0.9666666666666668,1.0,0.3020038604736328
20,0.9666666666666668,1.0,0.17800283432006836,0.9666666666666668,1.0,0.2940092086791992
21,0.9733333333333334,1.0,0.12999606132507324,0.9666666666666668,1.0,0.3129997253417969
22,0.9533333333333334,1.0,0.10499906539916992,0.9666666666666668,1.0,0.36100149154663086
23,0.9466666666666667,1.0,0.14899802207946777,0.9666666666666668,1.0,0.4019787311553955
24,0.9400000000000001,0.9666666666666667,0.1289973258972168,0.96,1.0,0.3670003414154053
25,0.9533333333333334,1.0,0.15800094604492188,0.96,1.0,0.3770003318786621
