KNN,,FKNN,
1,0.5893769152196119,26.43721842765808,0.5893769152196119,35.688602447509766
2,0.5168539325842697,38.53964281082153,0.6087844739530133,35.54536199569702
3,0.49948927477017363,37.239487648010254,0.599591419816139,38.70147728919983
4,0.5010204081632653,40.83145236968994,0.5989795918367347,36.00512456893921
5,0.5148110316649642,35.59525680541992,0.6087844739530133,34.870808839797974
6,0.48927477017364657,34.37324142456055,0.6128702757916241,37.05350708961487
7,0.5127681307456589,33.95866632461548,0.6230847803881512,27.031877040863037
8,0.5066394279877426,25.280468225479126,0.6292134831460674,27.43263268470764
9,0.49540347293156284,25.210515022277832,0.6281920326864147,31.5798282623291
10,0.48723186925434114,26.38101601600647,0.6332992849846782,32.93099904060364
11,0.4821246169560776,27.160006761550903,0.6353421859039836,30.793004512786865
12,0.48008171603677224,26.322062492370605,0.6302349336057201,31.78601908683777
13,0.473953013278856,27.586398363113403,0.6312563840653729,32.65699863433838
14,0.48367346938775513,25.98899269104004,0.6302349336057201,32.8819854259491
15,0.4704081632653061,27.31899642944336,0.6261491317671093,31.074003219604492
16,0.4775510204081633,24.23900532722473,0.6230847803881512,30.796000003814697
17,0.45965270684371806,24.27799963951111,0.627170582226762,32.47500419616699
18,0.46224489795918366,24.238003969192505,0.6261491317671093,32.79701209068298
19,0.46884576098059244,27.45500373840332,0.6251276813074566,33.32601475715637
20,0.47191011235955055,24.33500027656555,0.6281920326864147,33.10198426246643
21,0.46224489795918366,30.156183004379272,0.6241062308478039,37.91070771217346
22,0.4775510204081633,28.19948983192444,0.6292134831460674,43.52999544143677
23,0.4637385086823289,28.106008291244507,0.6261491317671093,40.16963195800781
24,0.4714285714285714,27.675984859466553,0.6312563840653729,70.93099999427795
25,0.46224489795918366,42.29400992393494,0.6261491317671093,63.86500024795532
