KNN,,FKNN,
1,1.0,91.38003039360046,1.0,91.06199741363525
2,1.0,90.5049991607666,1.0,94.34199833869934
3,1.0,79.93501377105713,1.0,76.63400077819824
4,1.0,76.02100968360901,1.0,69.98300385475159
5,1.0,74.49199914932251,1.0,75.40798807144165
6,1.0,68.45103812217712,1.0,75.4200005531311
7,1.0,74.80504703521729,1.0,77.05001306533813
8,1.0,75.19460701942444,1.0,75.10000395774841
9,1.0,83.15698623657227,1.0,82.79700207710266
10,1.0,80.28501009941101,1.0,75.93999767303467
11,1.0,80.58478260040283,1.0,76.43798637390137
12,1.0,72.48500490188599,1.0,78.9640212059021
13,0.9987684729064039,72.59698462486267,1.0,74.91199564933777
14,1.0,77.45499920845032,1.0,82.43916130065918
15,1.0,111.24799990653992,1.0,79.9676456451416
16,1.0,80.76499962806702,1.0,81.27706742286682
17,1.0,75.28467106819153,1.0,81.15306687355042
18,0.9981538461538462,79.24399733543396,1.0,85.618417263031
19,0.9981538461538462,79.02643871307373,1.0,79.14100217819214
20,0.9963076923076923,72.29501152038574,1.0,79.68601369857788
21,0.9969211822660099,72.64698648452759,1.0,85.35901165008545
22,0.9963076923076923,74.12500023841858,1.0,82.66299843788147
23,0.9969230769230769,73.88399958610535,1.0,82.59100103378296
24,0.9963076923076923,74.73198580741882,1.0,81.4809422492981
25,0.9963076923076923,75.15170860290527,1.0,86.93601989746094
