,KNN,,,FKNN,,
k,Avg Score,Best Score,Time,Avg Score,Best Score,Time
1,0.7427820754597338,0.7465099191770757,202.36799311637878,0.7427820754597338,0.7465099191770757,1136.98251247406
2,0.7103076818880071,0.7138133725202057,237.8635971546173,0.7408713646481129,0.7465099191770757,1162.8264830112457
3,0.7330093904403208,0.7421961072346677,196.31658005714417,0.7462337995948736,0.7579875137715755,1055.1279850006104
4,0.7295565599919913,0.7352185089974294,372.8858001232147,0.7415323732873395,0.7494489346069066,1128.2796659469604
5,0.7264706477571659,0.7344840249724568,219.5239827632904,0.7403564972829217,0.7480719794344473,1315.1633551120758
6,0.7246340599292553,0.7304443628351084,192.34301495552063,0.7399890124211989,0.7495409474843923,942.5769968032837
7,0.7190504432942986,0.7299779573842763,187.2940104007721,0.7383728507505256,0.7455012853470437,947.4390115737915
8,0.7219159833383837,0.7299779573842763,187.96299982070923,0.7382996182140165,0.7476120499632624,954.7140018939972
9,0.7147889248875405,0.7227322805728975,186.97501730918884,0.7371242548913208,0.7472446730345335,958.1670007705688
10,0.714641974116049,0.7227322805728975,192.36603951454163,0.7357281685956542,0.742836149889787,1217.171361207962
11,0.7100869319317874,0.7168564083731179,200.73072242736816,0.7342587418304842,0.742836149889787,997.6562044620514
12,0.7092053622190807,0.7152828802351212,198.7105519771576,0.7348464100002078,0.7403598971722365,1000.8746538162231
13,0.7076625140346622,0.7174871418074945,241.90996170043945,0.7344055307024846,0.7407271391847228,1116.2263488769531
14,0.7073689362906614,0.7178545187362234,213.80318021774292,0.734038477572738,0.7413666421748715,1089.7144112586975
15,0.7020788704164568,0.7167523879500367,204.8510594367981,0.7321281445265965,0.7380602498163116,1002.8687181472778
16,0.700756475372524,0.7145481263776635,188.3704206943512,0.7322017548285848,0.7395297575312271,970.2768819332123
17,0.6991402057688567,0.7112417340191036,187.41996598243713,0.7319813826378446,0.7380602498163116,973.4022347927094
18,0.69700977036446,0.7060984570168993,327.47480869293213,0.7310997859418894,0.7369581190301249,1610.9696226119995
19,0.696128173668505,0.7068332108743571,231.06831979751587,0.7310262835728951,0.7376928728875827,971.9541690349579
20,0.6939242628783624,0.7116091109478325,189.03538846969604,0.7308794137511491,0.7387950036737693,1020.8481936454773
21,0.6909118530125312,0.7083027185892726,189.57195258140564,0.7316142215751039,0.7391623806024982,992.7224943637848
22,0.6903979030777903,0.7079353416605437,189.0379295349121,0.7307324090131605,0.7380602498163116,985.3219828605652
23,0.690103893601813,0.7035268185157972,186.35699796676636,0.7293365116002335,0.7358559882439383,982.4424178600311
24,0.688781282691892,0.7031594415870683,306.2066264152527,0.7279407221203005,0.7354886113152094,1130.7958977222443
25,0.6856955053733091,0.6903012490815577,278.46768021583557,0.7252958510826893,0.7303453343130052,1321.3115878105164
