KNN,,FKNN,
1,1.0,0.10667109489440918,1.0,0.06924748420715332
2,1.0,0.09046292304992676,1.0,0.08000016212463379
3,1.0,0.09499955177307129,1.0,0.10377264022827148
4,1.0,0.10102343559265137,1.0,0.10398435592651367
5,1.0,0.09100151062011719,1.0,0.12298989295959473
6,1.0,0.110015869140625,1.0,0.1305086612701416
7,1.0,0.10299992561340332,1.0,0.1440567970275879
8,1.0,0.10414385795593262,1.0,0.15641403198242188
9,1.0,0.10762143135070801,1.0,0.1820981502532959
10,1.0,0.09799027442932129,1.0,0.19506287574768066
11,1.0,0.1253950595855713,1.0,0.20446205139160156
12,1.0,0.09501504898071289,1.0,0.17299985885620117
13,1.0,0.09399962425231934,1.0,0.1960155963897705
14,1.0,0.10199570655822754,1.0,0.18899846076965332
15,1.0,0.10300278663635254,1.0,0.21199941635131836
16,1.0,0.10199141502380371,1.0,0.2069993019104004
17,1.0,0.13599872589111328,1.0,0.22099971771240234
18,1.0,0.08400106430053711,1.0,0.22700142860412598
19,1.0,0.10601425170898438,1.0,0.274996280670166
20,1.0,0.0840005874633789,1.0,0.2460005283355713
21,1.0,0.10901355743408203,1.0,0.3670010566711426
22,1.0,0.09600019454956055,1.0,0.29399943351745605
23,1.0,0.09801387786865234,1.0,0.2739994525909424
24,1.0,0.09798169136047363,1.0,0.2850041389465332
25,1.0,0.10301518440246582,1.0,0.29600048065185547
