,KNN,,,FKNN,,
k,Avg Score,Best Score,Time,Avg Score,Best Score,Time
1,0.7508999999999999,0.7615,109.6999101638794,0.7508999999999999,0.7615,544.6626672744751
2,0.7643000000000001,0.7705,111.56872177124023,0.7596999999999999,0.7685,565.2393214702606
3,0.7802,0.7855,111.41561508178711,0.7834,0.7885,562.0445220470428
4,0.7832999999999999,0.794,110.76942753791809,0.7863,0.792,574.5628559589386
5,0.7888,0.7935,118.65923285484314,0.7914,0.795,626.4202885627747
6,0.7895,0.798,126.50766038894653,0.7924,0.796,632.988835811615
7,0.7887,0.7935,126.55935096740723,0.7939999999999999,0.799,634.1578707695007
8,0.7885000000000001,0.794,126.60959005355835,0.7905,0.7955,733.5018186569214
9,0.7941,0.801,106.50099444389343,0.7927,0.8005,543.0204062461853
10,0.7962,0.801,101.2531201839447,0.7935,0.8015,560.2619187831879
11,0.7948999999999999,0.8,99.22899532318115,0.792,0.7975,563.3393702507019
12,0.7954,0.8015,164.29627656936646,0.7944,0.7995,595.8062505722046
13,0.7962,0.805,123.33156657218933,0.7937000000000001,0.8005,809.9609839916229
14,0.7949,0.802,155.16026902198792,0.7965000000000001,0.802,766.045286655426
15,0.798,0.8065,119.50022149085999,0.7957,0.8015,493.78657937049866
16,0.7960999999999999,0.803,97.99083280563354,0.7957000000000001,0.8,516.3602271080017
17,0.7952,0.8065,121.78381729125977,0.7936,0.801,581.096652507782
18,0.7979999999999999,0.804,101.6139988899231,0.7966000000000001,0.8025,520.6019532680511
19,0.7978,0.804,103.03199505805969,0.7971000000000001,0.8025,526.5090050697327
20,0.7981,0.802,103.1739993095398,0.7964,0.7995,526.942010641098
21,0.7974,0.8,104.11798024177551,0.7964,0.8015,525.2945847511292
22,0.7983,0.801,103.26202082633972,0.7963,0.799,595.7550055980682
23,0.7998999999999999,0.8035,144.4639973640442,0.7975000000000001,0.7995,744.7982888221741
24,0.7971,0.808,115.04603505134583,0.7973000000000001,0.8015,700.3438827991486
25,0.7976,0.8065,121.63000392913818,0.7965,0.8005,618.5349855422974
