,KNN,,,FKNN,,
k,Avg Score,Best Score,Time,Avg Score,Best Score,Time
1,0.5865967868338557,0.64375,4.156354665756226,0.5865967868338557,0.64375,4.036002159118652
2,0.5046884796238245,0.5375,4.151069641113281,0.5991007053291535,0.65,4.211143732070923
3,0.49904584639498434,0.515625,4.386007785797119,0.5984737460815047,0.61875,4.466999292373657
4,0.5178134796238244,0.53125,4.412070035934448,0.6109855015673981,0.640625,4.630995035171509
5,0.5040615203761756,0.521875,4.572629451751709,0.6084913793103448,0.659375,4.851996421813965
6,0.5053076018808778,0.5125,4.666773080825806,0.6091222570532915,0.65625,5.0629894733428955
7,0.4940536833855799,0.51875,4.550967693328857,0.6072511755485894,0.659375,5.165003538131714
8,0.5021806426332288,0.51875,4.423355340957642,0.6084972570532916,0.671875,5.719001531600952
9,0.5021728056426331,0.525,4.678001642227173,0.6066202978056425,0.6625,6.119997501373291
10,0.4996708463949844,0.521875,4.6329851150512695,0.6059913793103449,0.659375,5.901001214981079
11,0.4965360501567398,0.53125,4.629021883010864,0.6091144200626959,0.665625,6.1059980392456055
12,0.5015340909090908,0.534375,4.824000597000122,0.611614420062696,0.675,6.332533359527588
13,0.5015399686520376,0.53125,4.642000198364258,0.612862460815047,0.671875,6.290010213851929
14,0.5103095611285267,0.54375,4.690003395080566,0.6116163793103448,0.675,6.746096849441528
15,0.5178095611285267,0.55,4.690001010894775,0.6235031347962383,0.675,6.876011848449707
16,0.5134306426332288,0.540625,4.7093305587768555,0.6247511755485894,0.671875,7.439999103546143
17,0.5134286833855799,0.540625,5.504000663757324,0.6247531347962383,0.678125,8.695982933044434
18,0.5196865203761756,0.546875,5.311021327972412,0.6203722570532916,0.671875,8.473999500274658
19,0.5184365203761756,0.540625,5.376999378204346,0.6260011755485894,0.684375,8.635016202926636
20,0.5271904388714733,0.546875,5.410001039505005,0.6253742163009404,0.665625,8.875910997390747
21,0.5259404388714733,0.54375,5.500001907348633,0.6266242163009405,0.671875,8.730088472366333
22,0.5303115203761756,0.5625,5.100078344345093,0.6228742163009404,0.671875,8.934303045272827
23,0.5246884796238244,0.54375,5.144015073776245,0.6241242163009405,0.68125,8.659994840621948
24,0.5328193573667712,0.559375,4.798000335693359,0.6260031347962383,0.684375,8.8627769947052
25,0.5303252351097179,0.55625,5.127999782562256,0.6259992163009405,0.690625,8.816003799438477

