,KNN,,,FKNN,,
k,Avg Score,Best Score,Time,Avg Score,Best Score,Time
1,1.0,1.0,72.67595863342285,1.0,1.0,69.92021870613098
2,1.0,1.0,67.79823184013367,1.0,1.0,64.69704842567444
3,1.0,1.0,80.21542525291443,1.0,1.0,98.81882524490356
4,1.0,1.0,79.45904064178467,1.0,1.0,79.8831353187561
5,0.9996307692307692,1.0,70.65135025978088,1.0,1.0,71.41511702537537
6,0.9995076923076922,1.0,72.92241430282593,1.0,1.0,79.85497188568115
7,0.9996307692307692,1.0,95.62399530410767,1.0,1.0,96.50714206695557
8,0.9996307692307692,1.0,95.47712063789368,0.9997538461538461,1.0,99.29155421257019
9,0.9991384615384614,1.0,112.23863768577576,0.9995076923076922,1.0,101.9430603981018
10,0.9987691549829479,1.0,94.97787237167358,0.9995076923076922,1.0,99.17916703224182
11,0.9986460780598712,1.0,88.693106174469,0.9993846153846153,1.0,92.44551825523376
12,0.9986456991284577,1.0,74.34812092781067,0.9996306176582038,1.0,349.36700677871704
13,0.9981533914361501,1.0,67.32700634002686,0.9995074649488442,1.0,341.9840142726898
14,0.9979071618037135,1.0,67.43099689483643,0.9993843880257673,1.0,343.1099922657013
15,0.9980303902993558,0.9993846153846154,67.10902142524719,0.9993843880257673,1.0,342.5889992713928
16,0.9972917771883288,0.9987692307692307,66.8110146522522,0.9993843880257673,1.0,342.0220000743866
17,0.9974149298976884,0.9987692307692307,67.7420163154602,0.9992613111026903,1.0,344.92501950263977
18,0.9961839333080713,0.9981538461538462,68.6790099143982,0.9991382341796134,1.0,344.94500946998596
19,0.9964302387267905,0.9981538461538462,67.36699867248535,0.9991382341796134,1.0,345.0400159358978
20,0.9959377794619174,0.9981538461538462,67.52001810073853,0.9987689276241,1.0,345.4000172615051
21,0.996060932171277,0.9981538461538462,67.91699743270874,0.9985227737779463,1.0,345.8360023498535
22,0.9948297840090943,0.9981538461538462,67.6149799823761,0.9983996968548693,0.9993846153846154,347.05400562286377
23,0.9949529367184539,0.9981538461538462,68.24901080131531,0.9981535430087154,0.9993846153846154,346.5069828033447
24,0.9947067070860174,0.9981538461538462,68.16501593589783,0.9980304660856385,0.9993846153846154,346.2369999885559
25,0.9950765441455097,0.9969211822660099,74.0509946346283,0.9975383099658963,0.9987684729064039,479.6344485282898
